05/05|Terça|Manhã|Colégio Monteiro Lobato|10h30|Quadra Grande Externa|2º ano Ensino Médio|Basquete|Masc|VERDE X P-
05/05|Terça|Manhã|Colégio Monteiro Lobato|10h30|Quadra Pequena Externa|2º ano Ensino Médio|Basquete|Fem|VERMELHO X P-
05/05|Terça|Manhã|Colégio Monteiro Lobato|10h30|Quadra Coberta|8º ano Ensino Fundamental II|Futsal|Fem|VERMELHO X P-
05/05|Terça|Manhã|Colégio Monteiro Lobato|10h30|Quadra de Voleibol Externa|6º ano Ensino Fundamental II|Dodgeball|Masc|ROXO X P-
05/05|Terça|Manhã|Colégio Monteiro Lobato|11h10|Quadra Grande Externa|3º ano Ensino Médio|Futsal|Masc|VERMELHO X V-
05/05|Terça|Manhã|Colégio Monteiro Lobato|11h10|Quadra Pequena Externa|3º ano Ensino Médio|Basquete|Fem|ROXO X V-
05/05|Terça|Manhã|Colégio Monteiro Lobato|11h10|Quadra Coberta|8º ano Ensino Fundamental II|Futsal|Masc|VERDE X V-
05/05|Terça|Manhã|Colégio Monteiro Lobato|11h10|Quadra de Voleibol Externa|1º ano Ensino Médio|Voleibol|Masc|ROXO X V-
05/05|Terça|Manhã|Colégio Monteiro Lobato|11h50|Quadra Grande Externa|2º ano Ensino Médio|Basquete|Masc|VERDE X V-
05/05|Terça|Manhã|Colégio Monteiro Lobato|11h50|Quadra Pequena Externa|2º ano Ensino Médio|Basquete|Fem|VERMELHO X V-
05/05|Terça|Manhã|Colégio Monteiro Lobato|11h50|Quadra Coberta|8º ano Ensino Fundamental II|Futsal|Fem|VERMELHO X V-
05/05|Terça|Manhã|Colégio Monteiro Lobato|11h50|Quadra de Voleibol Externa|6º ano Ensino Fundamental II|Dodgeball|Masc|ROXO X V-
05/05|Terça|Tarde|Colégio Monteiro Lobato|14h00|Quadra Grande|5º ano Ensino Fundamental I|Futsal|Masc|VERMELHO X VERDE
05/05|Terça|Tarde|Colégio Monteiro Lobato|14h40|Quadra Grande|5º ano Ensino Fundamental I|Futsal|Masc|ROXO X P-
05/05|Terça|Tarde|Colégio Monteiro Lobato|15h20|Quadra Grande|5º ano Ensino Fundamental I|Futsal|Masc|ROXO X V-
05/05|Terça|Tarde|Colégio Monteiro Lobato|16h20|Quadra Grande|5º ano Ensino Fundamental I|Futsal|Fem|VERMELHO X ROXO
